Date,Open,High,Low,Close,Volume,Adj Close
2016-06-06,10.96,10.96,10.96,10.96,000,10.788252
2016-06-03,10.98,10.98,10.98,10.98,000,10.807938
2016-06-02,10.92,10.92,10.92,10.92,000,10.748878
2016-06-01,10.90,10.90,10.90,10.90,000,10.729191
2016-05-31,10.90,10.90,10.90,10.90,000,10.729191
2016-05-27,10.88,10.88,10.88,10.88,000,10.68785
2016-05-26,10.90,10.90,10.90,10.90,000,10.707496
2016-05-25,10.87,10.87,10.87,10.87,000,10.678026
2016-05-24,10.88,10.88,10.88,10.88,000,10.68785
2016-05-23,10.89,10.89,10.89,10.89,000,10.697674
2016-05-20,10.89,10.89,10.89,10.89,000,10.697674
2016-05-19,10.89,10.89,10.89,10.89,000,10.697674
2016-05-18,10.88,10.88,10.88,10.88,000,10.68785
2016-05-17,10.93,10.93,10.93,10.93,000,10.736967
2016-05-16,10.94,10.94,10.94,10.94,000,10.74679
2016-05-13,10.97,10.97,10.97,10.97,000,10.776261
2016-05-12,10.95,10.95,10.95,10.95,000,10.756613
2016-05-11,10.96,10.96,10.96,10.96,000,10.766437
2016-05-10,10.95,10.95,10.95,10.95,000,10.756613
2016-05-09,10.95,10.95,10.95,10.95,000,10.756613
2016-05-06,10.94,10.94,10.94,10.94,000,10.74679
2016-05-05,10.96,10.96,10.96,10.96,000,10.766437
2016-05-04,10.94,10.94,10.94,10.94,000,10.74679
2016-05-03,10.93,10.93,10.93,10.93,000,10.736967
2016-05-02,10.90,10.90,10.90,10.90,000,10.707496
2016-04-29,10.92,10.92,10.92,10.92,000,10.727144
2016-04-28,10.92,10.92,10.92,10.92,000,10.706514
2016-04-27,10.89,10.89,10.89,10.89,000,10.677101
2016-04-26,10.86,10.86,10.86,10.86,000,10.647687
2016-04-25,10.88,10.88,10.88,10.88,000,10.667296
2016-04-22,10.88,10.88,10.88,10.88,000,10.667296
2016-04-21,10.89,10.89,10.89,10.89,000,10.677101
2016-04-20,10.90,10.90,10.90,10.90,000,10.686905
2016-04-19,10.93,10.93,10.93,10.93,000,10.716319
2016-04-18,10.93,10.93,10.93,10.93,000,10.716319
2016-04-15,10.94,10.94,10.94,10.94,000,10.726123
2016-04-14,10.91,10.91,10.91,10.91,000,10.69671
2016-04-13,10.93,10.93,10.93,10.93,000,10.716319
2016-04-12,10.92,10.92,10.92,10.92,000,10.706514
2016-04-11,10.94,10.94,10.94,10.94,000,10.726123
2016-04-08,10.94,10.94,10.94,10.94,000,10.726123
2016-04-07,10.95,10.95,10.95,10.95,000,10.735928
2016-04-06,10.92,10.92,10.92,10.92,000,10.706514
2016-04-05,10.94,10.94,10.94,10.94,000,10.726123
2016-04-04,10.91,10.91,10.91,10.91,000,10.69671
